Title,Company,Date,Location,Skills,Links,Job Requirements
AI Data Science and Machine Learning Instructor,CLS Learning Solutions -,9 days ago,"Dokki, Giza, Egypt ",Part TimeFreelance / ProjectHybridExperienced  3 - 15 Yrs of Exp  Training/Instructor  Machine Learning  AI  Deep Learning  Data Science  Python  Natural Language Processing  Neural Networks  Training  Teaching,https://wuzzuf.net/jobs/p/z0CoEumbENY6-AI-Data-Science-and-Machine-Learning-Instructor-CLS-Learning-Solutions-Giza-Egypt,"Minimum 3 years experience teaching AI data science and machine learning courses in a well known Training Centers or the ITI or the NTI.5+ years of industry experience.Teaching/tutoring/mentorship experience.Proficiency in Python, Machine Learning (Unsupervised and Supervised Learning), Natural Language Processing, Deep Learning and Neural Networks, Linear Regression, Transformers, and AI applications.Share your own professional experiences and industry insight with the students.Be able to infuse empathy, support, encouragement, and fun into the student experience."
Machine Learning Engineer,StreetScan -,15 days ago,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced  7 - 11 Yrs of Exp  IT/Software Development  Engineering  Deep Learning  Computer Science  Programming  Python  TensorFlow  PyTorch  Data visualization,https://wuzzuf.net/jobs/p/xW6hEKRfdfE0-Machine-Learning-Engineer-StreetScan-Cairo-Egypt,"Required Skills and Qualifications:10+ years of experience in Python programming.Extensive experience with TensorFlow and PyTorch.Strong knowledge of machine learning algorithms and deep learning techniques.Proficiency in data visualization tools such as Matplotlib, Seaborn, or Plotly.Experience with data preprocessing and feature engineering.Familiarity with cloud platforms (AWS, Azure, GCP) and containerization (Docker, Kubernetes).Excellent problem-solving skills and attention to detail.Strong communication skills and ability to work collaboratively in a team environment.Preferred Qualifications:Experience with big data technologies (e.g., Hadoop, Spark).Knowledge of natural language processing (NLP) and computer vision.Familiarity with Agile/Scrum development methodologies.Experience with CI/CD pipelines for ML models.What We Offer:Competitive salary and benefits.Opportunities for professional growth and development.A collaborative and innovative work environment.The chance to work on challenging and rewarding projects. Citylogix is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees."
Machine Learning Engineer,WUZZUF -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced  2 - 4 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Python  ElasticSearch  Machine Learning  Web Development  Pandas  Information Retrieval  Recommender Systems,https://wuzzuf.net/jobs/p/LZGiOLXFhs9n-Machine-Learning-Engineer-WUZZUF-Cairo-Egypt,"Experience:2-4 years of proven experience as a Machine Learning Engineer or similar role with a demonstrable project portfolio.Search Engines and recommendation previous experience is preferred.Skills and Abilities:Proficiency in programming languages such as PythonStrong understanding of machine learning algorithms and techniques.Advanced Knowledge of Technical stack such as Python, Elasticsearch, Docker, MySQL.Proficient in using machine learning frameworks and tools such as TensorFlow, PyTorch, pandas and scikit-learn.Strong analytical and logical thinking for tackling complex challenges.Excellent ability to communicate technical concepts to both technical and non-technical stakeholders.Strong understanding of search methodologies, including indexing, query processing, and relevance ranking.Language Proficiency:Fluent English and Arabic verbal and written."
Machine Learning Engineer,Softec Technologies -,2 months ago,"Cairo, Egypt ",Full TimeOn-siteExperienced  4 - 8 Yrs of Exp  R&D/Science  IT/Software Development  Artificial Intelligence  Computer Science  Computer Vision  Deep Learning  Engineering  Information Technology (IT)  Java  Machine Learning,https://wuzzuf.net/jobs/p/st9RUfA6MUF5-Machine-Learning-Engineer-Softec-Technologies-Cairo-Egypt,"1. Bachelor's or Master's degree in Computer Science, Artificial Intelligence, or a related field.2. Minimum of 4 years of professional experience in developing and deploying machine learning models, with a strong emphasis on computer vision applications.3. Extensive knowledge of machine learning concepts, algorithms, and frameworks, including but not limited to CNN, RNN, LSTM, and Transformers.4. Proven track record of selecting and implementing appropriate machine learning models based on project requirements and performance metrics.5. Proficiency in programming languages such as Python, C++, and Java, along with experience in deep learning frameworks like TensorFlow, PyTorch, or Keras.6. In-depth understanding and hands-on experience with the YOLO object detection framework, including training, fine-tuning, and deploying YOLO models for various applications.7. Familiarity with computer vision techniques, including image preprocessing, augmentation, segmentation, and object tracking.8. Strong problem-solving skills and the ability to analyze and optimize model performance.9. Excellent communication and collaboration skills, with the ability to work effectively in a team environment.10. Experience with version control systems (e.g., Git) and collaborative development tools (e.g., Jira, Confluence)."
AI Engineer,Paxerahealth Corp -,22 days ago,"Cairo, Egypt ",Full TimeHybridExperienced  3 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  C++  AI  Computer Science  Information Technology (IT)  Machine Learning  Programming  Frameworks  Artificial Intelligence,https://wuzzuf.net/jobs/p/xslEtIqI7D7T-AI-Engineer-Paxerahealth-Corp-Cairo-Egypt,"Qualifications:Master's or PhD in Computer Science, Artificial Intelligence, Biomedical Engineering, or related field.Proven experience in leading AI projects, preferably in the healthcare domain.Strong background in machine learning, deep learning, and computer visionFamiliarity with medical imaging technologies (e.g., MRI, CT, X-ray) and clinical workflowsExperience with regulatory standards in healthcare technology (e.g., HIPAA, FDA)Excellent problem-solving, leadership, and communication skillsSkills:Proficiency in programming languages such as Python, C++, or JavaExperience with AI and ML frameworks.Strong analytical and critical thinking abilitiesAbility to work in a fast-paced and dynamic environment."
Senior Developer - Enterprise Software,eT3 - Tomorrow Information Technology -,23 days ago,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced  4+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Fullstack  Frontend Development  HTML  CSS  javaScript  Backend Development,https://wuzzuf.net/jobs/p/qUQwm7nzDftm-Senior-Developer---Enterprise-Software-eT3---Tomorrow-Information-Technology-Cairo-Egypt,"Good command of some or all of the following (the more the better):Backend DevelopmentWeb frameworks (preferably: Python Django)APIs  (Preferably: DRF)Data Access (Preferably Django ORM )Experience in frameworks and languages similar to those preferred (such as C#, Java or PHP frameworks) is highly considered - as the concepts are mostly the same - provided that you exhibit ability to learn new frameworks and languages easily.Frontend DevelopmentHTMLCSSJavascript Frameworks (Preferably Vue.js)Experience in development of Enterprise SystemsPortalsAPI PlatformsIntegration (Application and data integration)Enterprise web applicationsDatabase design/modeling and developmentBackground tasks and message queuesReports/Business IntelligenceDatabaseComplex SQL queries and ObjectsMobile AppMobile app development capabilities (preferably Flutter) is a plus.Artificial IntelligenceAI capabilities are a plus.Business IntelligenceBusiness Intelligence capabilities are a plus.DevOpsGitlabDockerKubernetesGunicornWaitressIISLinuxWindows Server"
Second Level Technical Support Engineer,3D Diagnostix -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeRemoteEntry Level  0 - 5 Yrs of Exp  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  HTML  PHP  javaScript  Information Technology (IT)  Computer Science  Engineering  Troubleshooting,https://wuzzuf.net/jobs/p/xNDSXzdFGg4V-Second-Level-Technical-Support-Engineer-3D-Diagnostix-Cairo-Egypt,"Qualifications and skills required:• A bachelor degree (computer science, engineering, preferred)• 0-1 years of relevant experience.• Java Knowledge.• Database Knowledge.• PHP, javascript (nodejs) is a plus• Java programming experience• OOP knowledge• Troubleshooting skills• Problem solving skills• Analytical skills• Database experience (MySQL)• Good understanding of networking concepts• Good understanding of web technologies• Good understanding of machine learning• PHP, Javascript is a plus• Angular is a plus"
AI and Robotics Instructor,MICA -,1 month ago,"Haram, Giza, Egypt ",Full TimeOn-siteEntry Level  Education/Teaching  Training/Instructor  AI  Electronics  Engineering  Python  Robotics  Instructor  Education  Teaching,https://wuzzuf.net/jobs/p/SeLTtSLVDjjH-AI-and-Robotics-Instructor-MICA-Giza-Egypt,"BSc. degree in Mechatronics Engineering, Computer Engineering, Communication Engineering or any Relevant Degree.C programming (Must), Python and OOP concepts (Must) and Algorithms.knowledge in electronics and logic design.Very good knowledge in Microcontrollers interfacing using (AVR or PIC).Knowledge in communication protocols such as (SPI,UART , TWI)Experience in ai Libraries and frameworks  such as opencv and TKinter.Experience in developing learning materials and coursesExcellent communication and presentation skills"
DevOps Engineer,34ML -,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeHybridEntry Level  0 - 3 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Software Development  Information Technology (IT)  MEAN Stack  Mobile Development  Objective-C  Software Design  Web Development  Web Design,https://wuzzuf.net/jobs/p/c8SZdkAvuePx-DevOps-Engineer-34ML-Cairo-Egypt,"Experience: 0 – 3 yearsBS/MS degree in Computer Science, Network Engineering, or a related subjectExperience with Pipeline tools (preferably GitHub actions)Excellent command of LinuxStrong knowledge of Bash scriptingExperience with DockerKnowledge of AWS, GCP, or Azure (preferably AWS)Knowledge of PythonProficient understanding of code versioning tools (e.g. Git).Strong troubleshooting skills.Ability to document requirements and specificationsExtra points: Background in SecurityBackground in APM Background in AI/MLBackground in Kubernetes and JenkinsExperience with mobile platform CI/CD processes. Important Note: We care for the well-being of our team members. Hence, we are looking into candidates living nearby Heliopolis Area. Please don't apply if you live very far away."
Graduate Internship: Enterprise Software Engineering,eT3 - Tomorrow Information Technology -,1 month ago,"New Cairo, Cairo, Egypt ",InternshipHybridEntry Level  0 - 1 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Software Development  Software Engineering  Computer Engineering  Backend Development  Frontend Development  	Software Testing  Data Engineering,https://wuzzuf.net/internship/wNTrO54JkxLa-Graduate-Internship-Enterprise-Software-Engineering-eT3---Tomorrow-Information-Technology-Cairo-Egypt,"RequirementsFresh Graduate - Computer science, Engineering or a related discipline.What is expected from the trainee?Trainees should get their laptop with them.The trainee should put in their consideration that the sessions are not the end, it’s just to put them on the track and enlighten the road. It’s just the beginning so, they should search more and more for each topic after the sessions to enhance their skills and build a strong base.Supervision by Seniors from our team will support the trainee while doing the self-learning topics and the practical real tasks.Trainees should showcase their talent, passion and strong will in learning new technologies.Should have teamwork and communication skills. "
